37 5 36
32 33 34 35 36
0 32 400Gbps 0.0005ms 0
1 32 400Gbps 0.0005ms 0
2 32 400Gbps 0.0005ms 0
3 32 400Gbps 0.0005ms 0
4 32 400Gbps 0.0005ms 0
5 32 400Gbps 0.0005ms 0
6 32 400Gbps 0.0005ms 0
7 32 400Gbps 0.0005ms 0
8 33 400Gbps 0.0005ms 0
9 33 400Gbps 0.0005ms 0
10 33 400Gbps 0.0005ms 0
11 33 400Gbps 0.0005ms 0
12 33 400Gbps 0.0005ms 0
13 33 400Gbps 0.0005ms 0
14 33 400Gbps 0.0005ms 0
15 33 400Gbps 0.0005ms 0
16 34 400Gbps 0.0005ms 0
17 34 400Gbps 0.0005ms 0
18 34 400Gbps 0.0005ms 0
19 34 400Gbps 0.0005ms 0
20 34 400Gbps 0.0005ms 0
21 34 400Gbps 0.0005ms 0
22 34 400Gbps 0.0005ms 0
23 34 400Gbps 0.0005ms 0
24 35 400Gbps 0.0005ms 0
25 35 400Gbps 0.0005ms 0
26 35 400Gbps 0.0005ms 0
27 35 400Gbps 0.0005ms 0
28 35 400Gbps 0.0005ms 0
29 35 400Gbps 0.0005ms 0
30 35 400Gbps 0.0005ms 0
31 35 400Gbps 0.0005ms 0
32 36 400Gbps 0.0005ms 0
33 36 400Gbps 0.0005ms 0
34 36 400Gbps 0.0005ms 0
35 36 400Gbps 0.0005ms 0
